City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,flying fish cove,-10.4217,105.6791,27.82,74,100,7.2,CX,1723097251
147,alice springs,-23.7,133.8833,26.75,22,0,5.14,AU,1723097252
148,callao,-12.0667,-77.15,16.16,82,100,2.06,PE,1723097253
149,la'ie,21.6477,-157.9253,26.98,77,1,1.34,US,1723097254
150,vitoria da conquista,-14.8661,-40.8394,15.8,96,99,2.15,BR,1723097255
151,tukzar,35.9483,66.4213,32.41,11,0,2.63,AF,1723097257
152,hermanus,-34.4187,19.2345,7.11,85,1,3.74,ZA,1723097258
153,el calafate,-50.3408,-72.2768,0.97,54,99,1.57,AR,1723097259
154,guozhen,34.3659,107.359,31.75,60,79,5.41,CN,1723097260
155,watampone,-4.5386,120.3279,28.33,71,46,4.44,ID,1723097261
156,sogndal,61.2283,7.1003,17.21,67,75,1.54,NO,1723097262
157,taiyuan,37.8694,112.5603,27.92,61,20,4.0,CN,1723097264
158,krasnyy chikoy,50.3643,108.7512,26.32,43,100,0.62,RU,1723097265
159,chapaev,50.2,51.1667,26.65,46,13,4.17,KZ,1723097266
160,udachny,66.4167,112.4,23.31,50,98,6.97,RU,1723097267
161,rice lake,45.5061,-91.7382,18.18,91,100,1.54,US,1723097268
162,uchiza,-8.4592,-76.4633,19.8,97,47,1.23,PE,1723097269
163,senador jose porfirio,-2.5908,-51.9542,24.42,78,3,0.49,BR,1723097271
164,aasiaat,68.7098,-52.8699,3.3,95,100,3.62,GL,1723097272
165,eyl,7.9803,49.8164,29.25,55,70,10.95,SO,1723097273
166,progreso,21.2833,-89.6667,27.2,92,100,2.36,MX,1723097274
167,dhuusamarreeb,5.535,46.3861,27.07,54,94,9.41,SO,1723097275
168,castillos,-34.1667,-53.8333,6.36,89,18,3.39,UY,1723097278
169,namibe,-15.1961,12.1522,15.18,87,10,3.08,AO,1723097280
170,acarau,-2.8856,-40.12,24.8,85,44,6.68,BR,1723097281
171,saldanha,-33.0117,17.9442,13.18,91,100,7.7,ZA,1723097282
172,uacu cungo,-11.3634,15.1208,16.25,67,28,1.16,AO,1723097284
173,cangzhou,38.3167,116.8667,34.51,43,0,2.26,CN,1723097285
174,hammerfest,70.6634,23.6821,20.25,49,0,6.17,NO,1723097286
175,gadzhiyevo,69.2551,33.3362,16.96,52,71,3.37,RU,1723097287
176,portland,45.5234,-122.6762,24.34,63,67,1.79,US,1723096809
177,mount isa,-20.7333,139.5,27.87,20,0,3.09,AU,1723097289
178,montepuez,-13.1256,38.9997,21.93,54,27,3.0,MZ,1723097290
179,revda,56.801,59.9303,12.8,83,98,3.19,RU,1723097292
180,moncton,46.1159,-64.8019,11.5,71,19,0.87,CA,1723097293
181,bhamo,24.2667,97.2333,29.25,86,67,1.29,MM,1723097294
182,labrador city,52.9463,-66.9114,8.99,86,100,4.92,CA,1723097295
183,lesnoy,57.6198,63.0784,16.29,50,45,3.98,RU,1723097298
184,sunland park,31.7965,-106.58,31.23,40,100,3.58,US,1723097299
185,mastung,29.7994,66.845,29.65,46,18,1.37,PK,1723097300
186,stanley,54.868,-1.6985,14.6,83,0,2.57,GB,1723097301
187,tubarjal,30.4999,38.216,29.66,28,0,5.51,SA,1723097302
188,praia da vitoria,38.7333,-27.0667,21.53,85,0,1.92,PT,1723097303
189,suva,-18.1416,178.4415,21.71,83,20,1.54,FJ,1723097305
190,aitape,-3.1374,142.3475,28.43,79,83,4.45,PG,1723097306
191,lazaro cardenas,17.9583,-102.2,27.69,82,100,2.04,MX,1723097307
192,kirchheimbolanden,49.6725,8.0189,18.71,84,100,1.4,DE,1723097308
193,nuriootpa,-34.4833,139.0,12.67,89,100,5.53,AU,1723097311
194,cabo san lucas,22.8909,-109.9124,28.75,73,16,1.79,MX,1723096861
195,broken hill,-31.95,141.4333,16.09,40,100,6.91,AU,1723097313
196,peskovka,59.0448,52.3606,15.28,88,100,3.4,RU,1723097314
197,lihue,21.9789,-159.3672,25.77,76,75,6.69,US,1723097186
198,madinat ash shamal,26.1293,51.2009,35.73,53,75,5.22,QA,1723097316
199,galesong,-5.3166,119.3661,33.01,61,29,3.14,ID,1723097317
200,choibalsan,48.0667,114.5,27.36,41,100,1.03,MN,1723097319
201,longyearbyen,78.2186,15.6401,12.91,88,75,1.03,SJ,1723097320
202,porbandar,21.6422,69.6093,28.65,76,98,7.79,IN,1723097321
203,jumla,29.2747,82.1838,20.98,71,87,2.16,NP,1723097322
204,whitehorse,60.7161,-135.0538,17.28,73,0,3.21,CA,1723097323
205,tazovsky,67.4667,78.7,12.33,59,55,5.26,RU,1723097325
206,taksimo,56.3444,114.8794,26.73,39,100,1.49,RU,1723097326
207,minas de marcona,-15.2119,-75.1103,9.47,92,88,6.41,PE,1723097327
208,san luis de la loma,17.2706,-100.8939,26.84,86,100,3.72,MX,1723097328
209,male,4.1748,73.5089,25.68,81,100,9.08,MV,1723097329
210,san martin,-33.081,-68.4681,3.2,73,65,3.1,AR,1723097330
211,sechura,-5.5569,-80.8222,17.29,79,43,4.84,PE,1723097332
212,vyselki,45.5794,39.6597,27.19,46,0,3.52,RU,1723097333
213,kerikeri,-35.2268,173.9474,12.73,91,90,0.45,NZ,1723097334
214,kapuskasing,49.4169,-82.4331,15.7,58,100,2.08,CA,1723097335
215,port saint john's,-31.6229,29.5448,19.61,28,0,3.19,ZA,1723097337
216,dongola,19.1667,30.4833,32.5,51,100,4.07,SD,1723097339
217,lucapa,-8.4192,20.7447,20.68,22,79,2.09,AO,1723097340
218,verdal,63.7933,11.4817,19.02,80,81,3.43,NO,1723097341
219,college,64.8569,-147.8028,20.97,70,75,5.66,US,1723097342
220,markaz-e hukumat-e darweshan,31.1323,64.1934,37.95,9,0,5.32,AF,1723097344
221,andi,42.7836,46.2617,14.21,71,73,2.08,RU,1723097345
222,gunjur,13.2019,-16.7339,26.04,94,40,0.0,GM,1723097346
223,eufaula,31.8913,-85.1455,27.02,79,0,1.54,US,1723097347
